"Energy"	"Total"
-3.334734331145965e-01	0.000000000000000e+00
-3.334734331145965e-01	2.799766788484645e-01
-3.272692886576865e-01	1.013274581462217e+00
-3.252055487167396e-01	1.700824389771486e+00
-3.170055932403775e-01	2.306445407392575e+00
-3.108890259897298e-01	2.770530896167228e+00
-3.088858542904127e-01	3.066362665535672e+00
-3.007502714701602e-01	3.459453081614197e+00
-2.948247056271832e-01	3.859360560897976e+00
-2.927863777275685e-01	4.128321067318483e+00
-2.849406124271636e-01	4.390301249400760e+00
-2.791843655293910e-01	4.629665596266452e+00
-2.789114749697566e-01	4.936838554653124e+00
-2.693783589915794e-01	5.255299172209520e+00
-2.693767418539995e-01	5.255370144684090e+00
-2.636219075971688e-01	5.568271036337613e+00
-2.636203080997891e-01	5.568372194516131e+00
-2.619512621460688e-01	5.688723026635225e+00
-2.619499397572402e-01	5.688971187986072e+00
-2.613839739338227e-01	5.860774754863641e+00
-2.539277289665343e-01	6.096608430793539e+00
-2.539263040905269e-01	6.096671158317425e+00
-2.490515522116636e-01	6.371712154036027e+00
-2.490500685929814e-01	6.371837371102022e+00
-2.466851079417605e-01	6.637551446755388e+00
-2.466832013353380e-01	6.637705742695200e+00
-2.404798573656280e-01	6.944968728965698e+00
-2.343432980715184e-01	7.229070144240406e+00
-2.343396726535359e-01	7.229515358620457e+00
-2.334460027588813e-01	7.407875671001750e+00
-2.334444042722786e-01	7.408169521388649e+00
-2.322830384910641e-01	7.602867286284386e+00
-2.322792789614387e-01	7.603263642281152e+00
-2.258375040707387e-01	7.882738891184331e+00
-2.258340449128714e-01	7.882946068763526e+00
-2.217130556577251e-01	8.197787474008150e+00
-2.217102990335005e-01	8.198201471392668e+00
-2.197691438522575e-01	8.632755060404408e+00
-2.197654501610984e-01	8.633248209160559e+00
-2.103191108871673e-01	9.041974992478856e+00
-2.080192992830922e-01	9.422273793316831e+00
-2.080161566505218e-01	9.423289307300642e+00
-2.075682931636395e-01	9.638453383893808e+00
-2.075638586264747e-01	9.639698199974200e+00
-2.038914663857035e-01	9.939397368639408e+00
-2.038881542801926e-01	9.939661940735171e+00
-1.997618569626083e-01	1.026234409730277e+01
-1.991136691330350e-01	1.050216772914395e+01
-1.991063789630780e-01	1.050425102891921e+01
-1.979160857321000e-01	1.074699545675972e+01
-1.979114731174956e-01	1.074764304511560e+01
-1.946711025787529e-01	1.099552175563763e+01
-1.946643734871900e-01	1.102414485962828e+01
-1.945835171924287e-01	1.170403420726590e+01
-1.945763314157120e-01	1.173445454064220e+01
-1.865694915724964e-01	1.237819271363435e+01
-1.865629514924178e-01	1.238234885760494e+01
-1.858659610635639e-01	1.321157055726975e+01
-1.858587279801025e-01	1.321766629671879e+01
-1.845331134819838e-01	1.387676881100728e+01
-1.845282848012345e-01	1.387900004329224e+01
-1.816375184295563e-01	1.511077141130940e+01
-1.816299326339068e-01	1.511638173614490e+01
-1.799423238408245e-01	1.689544248841437e+01
-1.799388886554570e-01	1.689905451680728e+01
-1.786077355921529e-01	1.829475230165013e+01
-1.771401206819472e-01	1.665143395958029e+01
-1.771348432924985e-01	1.664838323972502e+01
-1.720676643866974e-01	1.644843872511777e+01
-1.720592712324787e-01	1.644819052239010e+01
-1.695367807244489e-01	1.639867550547744e+01
-1.695292590656518e-01	1.639796688794716e+01
-1.665453524581880e-01	1.589454388637470e+01
-1.665363595992132e-01	1.589327362033653e+01
-1.652810826875645e-01	1.575047228424403e+01
-1.652710317397019e-01	1.575137067723229e+01
-1.635368144261865e-01	1.625792461608854e+01
-1.635247283222256e-01	1.626296251045652e+01
-1.624095350128569e-01	1.686777677666815e+01
-1.623998025357814e-01	1.687132325538301e+01
-1.608861717300848e-01	1.715259688166451e+01
-1.608744386540182e-01	1.715567992164148e+01
-1.607140507244852e-01	1.721029555309815e+01
-1.607016783167098e-01	1.721212210201243e+01
-1.566459251916998e-01	1.702575323969574e+01
-1.542235905166594e-01	1.668478502455856e+01
-1.542112029776490e-01	1.668357080204920e+01
-1.525305227775202e-01	1.658974939475657e+01
-1.525179506366126e-01	1.658856950417846e+01
-1.521846469322892e-01	1.654429937358853e+01
-1.521782454742368e-01	1.654389205580078e+01
-1.486985246523406e-01	1.656693965008714e+01
-1.486894840765995e-01	1.656733360992002e+01
-1.457052305748216e-01	1.680748390139743e+01
-1.456907461177390e-01	1.680847340448545e+01
-1.410383583695031e-01	1.707009934318990e+01
-1.410246141576167e-01	1.708935181205272e+01
-1.408960420144587e-01	1.744380873984974e+01
-1.408834330565489e-01	1.746175995163427e+01
-1.371392413242382e-01	1.775716361333075e+01
-1.371224222916822e-01	1.779053772846191e+01
-1.369610493924973e-01	1.841883314978568e+01
-1.369444863110321e-01	1.846749791647397e+01
-1.367817485814608e-01	1.878947653166895e+01
-1.367655438347966e-01	1.881056073579492e+01
-1.347931094717316e-01	2.004652387672107e+01
-1.347869839886030e-01	2.004916327914356e+01
-1.300503484495105e-01	2.114990093414064e+01
-1.300345850957894e-01	2.115614213675998e+01
-1.295203655167005e-01	2.144557561165667e+01
-1.295077853774562e-01	2.146808095182166e+01
-1.290572698817502e-01	2.281262971538650e+01
-1.290397068155206e-01	2.285048702625081e+01
-1.284481639954055e-01	2.366724877385991e+01
-1.257775612387363e-01	2.054326851468052e+01
-1.257685740590956e-01	2.051768534194871e+01
-1.245166475373881e-01	1.485220776089704e+01
-1.245040604188730e-01	1.480931587733044e+01
-1.237572885063931e-01	1.310107184314641e+01
-1.237394811073642e-01	1.274402384181865e+01
-1.236623745779759e-01	9.823528067613049e+00
-1.236449624479148e-01	9.479318833842433e+00
-1.200819038093843e-01	3.767536347090793e+00
-1.200656453003445e-01	3.745724285212049e+00
-1.170404964092369e-01	4.808023827749024e-01
-1.170404964092369e-01	2.457590908960007e-01
-1.170210026595825e-01	2.352465751605812e-01
-1.170210026595825e-01	0.000000000000000e+00
1.697596636216617e-02	0.000000000000000e+00
1.697596636216617e-02	2.964207058670121e-01
2.628582911571346e-02	1.731745114379097e+00
2.629290035130272e-02	1.733356013580595e+00
3.339835436082157e-02	3.874378490329883e+00
3.341141841841158e-02	3.877350424471014e+00
3.716516907753123e-02	4.455393037298233e+00
3.717191453642098e-02	4.456251402881639e+00
4.243774216899420e-02	4.983964191564132e+00
4.245314391860616e-02	4.985863450107107e+00
4.877669682597112e-02	5.913684104264822e+00
5.230543628479102e-02	6.974423849770964e+00
5.231855486799486e-02	6.977232065902760e+00
5.791343358149283e-02	7.693898427905016e+00
5.793449904719578e-02	7.696180163136001e+00
6.323058054714249e-02	8.165785807109701e+00
6.324131161802807e-02	8.167247163729243e+00
6.533083318515807e-02	8.549129865060022e+00
6.535803412170263e-02	8.555503329120619e+00
6.739590147832859e-02	9.140036009451526e+00
6.741751957174512e-02	9.144542634882306e+00
7.439814560148920e-02	1.005264150609264e+01
7.440299878326198e-02	1.005332022064998e+01
8.073677564576515e-02	1.099640559488688e+01
8.077369035207305e-02	1.101204041353917e+01
8.223340658282688e-02	1.204436936508663e+01
8.735139725866042e-02	1.308509913957998e+01
8.736435423084610e-02	1.309372470945611e+01
8.837668620769228e-02	1.423584090968359e+01
8.839629596795494e-02	1.428658581545577e+01
8.849221574446116e-02	1.463702513446574e+01
8.853829409907062e-02	1.472385583966887e+01
8.913217516040146e-02	1.503468137730636e+01
8.914904277171357e-02	1.511754356391797e+01
8.931054305623277e-02	1.656644091797649e+01
8.933967080201079e-02	1.670459059605626e+01
9.236729621527673e-02	1.921344518392203e+01
9.240154801188531e-02	1.925439585602537e+01
9.434005325174501e-02	2.229899852171381e+01
9.435083518234319e-02	2.231162754724012e+01
9.599630822218450e-02	2.355646189573723e+01
9.602888108834821e-02	2.358214761357944e+01
9.825204694975892e-02	2.544038543599861e+01
9.825680633939975e-02	2.547625963903402e+01
9.837570939924092e-02	2.691238007018741e+01
9.843111019731962e-02	2.736940537200828e+01
9.854896518499773e-02	2.827035207012120e+01
9.856512101758733e-02	2.834792989023451e+01
9.997433507422956e-02	2.960355787848351e+01
1.000093158211159e-01	2.963863281558638e+01
1.010017552605553e-01	3.073008573367377e+01
1.010793268069154e-01	3.075657727010194e+01
1.030939034330792e-01	2.993381601685312e+01
1.031283028069977e-01	2.991902234732389e+01
1.071567809576874e-01	2.812822069330873e+01
1.071990613037509e-01	2.810089343043839e+01
1.088804628586349e-01	2.668095373449481e+01
1.089349826799445e-01	2.664253010721841e+01
1.094483481795077e-01	2.632401936796600e+01
1.094572063696038e-01	2.632198761097974e+01
1.113764678879186e-01	2.671376975784593e+01
1.114005917822007e-01	2.676334808696527e+01
1.117101553882286e-01	2.782617073989068e+01
1.118015261591849e-01	2.845502116364288e+01
1.118376268717303e-01	2.884544956892947e+01
1.119198103114986e-01	2.913080913850700e+01
1.141054935674172e-01	2.090536626110890e+01
1.142619203221995e-01	1.948141221693199e+01
1.144279618144647e-01	1.644654413093826e+01
1.144728471887615e-01	1.594701629835005e+01
1.165051272298483e-01	1.543995281122676e+01
1.169574119924109e-01	1.482804923570941e+01
1.169733482239506e-01	1.481078606157732e+01
1.179681812495453e-01	1.397290465039195e+01
1.179874976105241e-01	1.395738096953193e+01
1.206944689463846e-01	1.186956160217334e+01
1.266798649624495e-01	9.674697436071757e+00
1.267034884514923e-01	9.666719745981673e+00
1.308028237574889e-01	8.382564585693324e+00
1.308108107626477e-01	8.375073006297384e+00
1.310360817167814e-01	8.108105770650489e+00
1.312615646104122e-01	7.925003958435354e+00
1.313570168428308e-01	7.782574870393430e+00
1.313813545814651e-01	7.755243936786707e+00
1.318815832526722e-01	7.718727274133620e+00
1.318815832526722e-01	7.826278595633352e+00
1.320185267687796e-01	7.831155222254476e+00
1.320185267687796e-01	7.938024680632582e+00
1.362448868554438e-01	8.553141202713553e+00
1.362736083479862e-01	8.557758886585676e+00
1.388773340351876e-01	9.013338286872120e+00
1.389337347267184e-01	9.021959268338881e+00
1.433113911537766e-01	9.589432706107726e+00
1.433241194523909e-01	9.590551826549559e+00
1.458390765625732e-01	9.706921536485659e+00
1.458483715788316e-01	9.707716533057027e+00
1.494272024366146e-01	1.015421994526031e+01
1.494637551879665e-01	1.020086979386719e+01
1.502027302604647e-01	1.196628860171341e+01
1.502867609335838e-01	1.211019812900078e+01
1.519721442616298e-01	1.388057079044338e+01
1.519752747836167e-01	1.388383138091134e+01
1.536505264764476e-01	1.561390956585448e+01
1.539054231283048e-01	1.573768282830361e+01
1.569703585583432e-01	1.560106839201182e+01
1.570494856071975e-01	1.559439809466776e+01
1.577890500267703e-01	1.550737890861933e+01
1.577998123490464e-01	1.550577659989980e+01
1.622847755850035e-01	1.469780849222931e+01
1.623148173240599e-01	1.469360426018115e+01
1.630369201692101e-01	1.462195763139346e+01
1.630506198348362e-01	1.462086403562622e+01
1.679937926702726e-01	1.432211095627416e+01
1.680123630714665e-01	1.432185371829217e+01
1.706344731707024e-01	1.440675838864353e+01
1.706344731707024e-01	1.444091704072980e+01
1.706792397929256e-01	1.444353368861277e+01
1.706792397929256e-01	1.447768118591468e+01
1.706902959003744e-01	1.447861583537951e+01
1.707068075028507e-01	1.448014259625414e+01
1.708869314643686e-01	1.449822661497065e+01
1.709175863215532e-01	1.450149834364949e+01
1.746323572264939e-01	1.492440600384503e+01
1.746482112419429e-01	1.492664556862949e+01
1.775823505998237e-01	1.542155303359141e+01
1.776100476285636e-01	1.542820742996039e+01
1.805811223896052e-01	1.634728549288658e+01
1.805843938961530e-01	1.634830404627210e+01
1.821364431004661e-01	1.683466478319116e+01
1.822197717307079e-01	1.682782959816446e+01
1.831831331128937e-01	1.636087920522455e+01
1.832127563307494e-01	1.635292881511176e+01
1.837376276003660e-01	1.633082455540531e+01
1.837756285161005e-01	1.632946030588468e+01
1.862932837271724e-01	1.625464912937841e+01
1.862995323716305e-01	1.625367508009862e+01
1.871338005450950e-01	1.601768008097984e+01
1.871350622580593e-01	1.601748486314909e+01
1.871407530389173e-01	1.601733831034119e+01
1.871818192574592e-01	1.593411914617664e+01
1.871855773863123e-01	1.590343169665923e+01
1.871974263592840e-01	1.583066056575326e+01
1.877016222948086e-01	1.584081286463933e+01
1.878014753384398e-01	1.584787708328238e+01
1.901343656274069e-01	1.613458630148722e+01
1.901780006574067e-01	1.613932708645422e+01
1.918106003477281e-01	1.629207518183012e+01
1.918244380767691e-01	1.629302517037476e+01
1.969248656246533e-01	1.651508689285092e+01
1.969332105722265e-01	1.651547250261364e+01
2.042410439951325e-01	1.687313324648499e+01
2.042524982171560e-01	1.687372938237979e+01
2.069555416872690e-01	1.702300122765004e+01
2.069950716951314e-01	1.702735659980133e+01
2.077654470762054e-01	1.715472934889804e+01
2.077731956579395e-01	1.715443370795001e+01
2.084747684138446e-01	1.698327139646209e+01
2.099108973420255e-01	1.703278381176765e+01
2.099574053926689e-01	1.703508388500561e+01
2.111190728320466e-01	1.710955160199792e+01
2.111256381874229e-01	1.711036763212905e+01
2.127645364375232e-01	1.741241212079336e+01
2.127899650769263e-01	1.750146941285953e+01
2.131163982241797e-01	1.978977356074790e+01
2.131219508530655e-01	1.980933459590384e+01
2.152373376817746e-01	1.949539989480719e+01
2.152779210705031e-01	1.949332558104502e+01
2.152958396508199e-01	1.950923562219475e+01
2.153125449550534e-01	1.952560763596293e+01
2.158871308264910e-01	2.058048093315348e+01
2.159738636194206e-01	2.066197438053445e+01
2.204289320719581e-01	2.122841398754890e+01
2.204357938910408e-01	2.122674168398500e+01
2.207186159986101e-01	2.105750017631572e+01
2.207368381496385e-01	2.105420468590162e+01
2.216443050487654e-01	2.125076349153885e+01
2.216621263891322e-01	2.125099949030478e+01
2.220979380119003e-01	2.119498037313759e+01
2.222962433464319e-01	2.120896506164925e+01
2.245922313873752e-01	2.169433048821772e+01
2.246253923342067e-01	2.171694202907525e+01
2.259079795796068e-01	2.317477973398781e+01
2.259154353043658e-01	2.318149488282260e+01
2.263534818120045e-01	2.347401476695111e+01
2.263666082967750e-01	2.348594708275840e+01
2.272398592907711e-01	2.448773566746629e+01
2.272943729470466e-01	2.401809786180343e+01
2.273141583335928e-01	2.403523546527371e+01
2.274370777870020e-01	2.359252634119719e+01
2.293606703493686e-01	2.478590368792685e+01
2.296200854187576e-01	2.489777062063538e+01
2.304770374093319e-01	2.498960896246632e+01
2.305025157164153e-01	2.499473776300126e+01
2.350236881608686e-01	2.629705455650302e+01
2.350255921646009e-01	2.629697278061857e+01
2.354090067617419e-01	2.615415037932900e+01
2.354162020128807e-01	2.615026639278058e+01
2.375203783844252e-01	2.465495716231145e+01
2.377858251417044e-01	2.455083853248486e+01
2.398984270949431e-01	2.436477476975971e+01
2.399003873985402e-01	2.436460549754525e+01
2.417551551115133e-01	2.420765089875454e+01
2.417675159845103e-01	2.420704630020026e+01
2.432933399459617e-01	2.418766124839733e+01
2.433294871338679e-01	2.418581881177781e+01
2.433393835624252e-01	2.418491944608168e+01
2.433411938751882e-01	2.418481475774246e+01
2.445168645689590e-01	2.415344254575249e+01
2.445570264878045e-01	2.415051617496453e+01
2.448723559728132e-01	2.411337481499569e+01
2.448916291712927e-01	2.411091862190083e+01
2.457457672506667e-01	2.399979444407455e+01
2.458286288434681e-01	2.399467524120541e+01
2.506497473024258e-01	2.400027069218053e+01
2.507052165430227e-01	2.401486433681622e+01
2.509627010571875e-01	2.416244292242175e+01
2.509647683021051e-01	2.416391888293310e+01
2.510171714303312e-01	2.420406925876437e+01
2.510190179288427e-01	2.420508393082615e+01
2.512472348248853e-01	2.428752469170009e+01
2.512544676253670e-01	2.429018228843933e+01
2.513911405674469e-01	2.434127893406269e+01
2.514162791258583e-01	2.434649979343305e+01
2.529764247955011e-01	2.442956732678824e+01
2.529774261095433e-01	2.442963135539354e+01
2.550894207126474e-01	2.458687867831619e+01
2.551303302333442e-01	2.458903044528689e+01
2.571124969930348e-01	2.465065016697072e+01
2.571514412836818e-01	2.465212591602963e+01
2.582436538976147e-01	2.470252590376834e+01
2.600084500749039e-01	2.470136715539999e+01
2.600103217790334e-01	2.470125567881359e+01
2.613926649692235e-01	2.453729533090530e+01
2.616310291060507e-01	2.453544450945553e+01
2.616328673741386e-01	2.453657717441747e+01
2.616773808145346e-01	2.459310807381195e+01
2.635182181861088e-01	2.454610172157575e+01
2.635196406596030e-01	2.454602104327638e+01
2.660180187885925e-01	2.432650491988509e+01
2.660355604911165e-01	2.432460863928574e+01
2.668304884865000e-01	2.422370120889734e+01
2.668348177133628e-01	2.422282373481600e+01
2.670894088967606e-01	2.415185905817822e+01
2.671680881772812e-01	2.413068079358415e+01
2.681258114318048e-01	2.388058136271839e+01
2.681275645734443e-01	2.388030454768561e+01
2.730295733004912e-01	2.361372570640627e+01
2.733343676060005e-01	2.359596084143176e+01
2.733363999918792e-01	2.359579736280335e+01
2.753821059374550e-01	2.338649838606662e+01
2.753840012105991e-01	2.338637195101375e+01
2.796168522337676e-01	2.325337378545107e+01
2.796600053108199e-01	2.325239425211738e+01
2.801314256339182e-01	2.324591799094493e+01
2.801430264117206e-01	2.324641982936707e+01
2.813236282663521e-01	2.336353729260567e+01
2.813482903385934e-01	2.336885961006536e+01
2.814974843685167e-01	2.341901523835701e+01
2.814993739654248e-01	2.342056684570687e+01
2.815200671775661e-01	2.344651725367571e+01
2.815362621623855e-01	2.346364122994415e+01
2.815401363980284e-01	2.346593117004310e+01
2.815423554892016e-01	2.346680231323885e+01
2.824546370415245e-01	2.344652243536386e+01
2.824935705072475e-01	2.344646434321519e+01
2.828786660002296e-01	2.345352380854915e+01
2.829102644000369e-01	2.345369734584604e+01
2.840830164984577e-01	2.344548404912579e+01
2.840887091555206e-01	2.344545102422592e+01
2.859683291957256e-01	2.343679952218771e+01
2.860101873808463e-01	2.343731669569395e+01
2.861841704182045e-01	2.344261156764268e+01
2.861996472228059e-01	2.344243696408229e+01
2.873417996165863e-01	2.338151000742940e+01
2.873437119006972e-01	2.338136376279829e+01
2.876093072889783e-01	2.335461251933821e+01
2.876106601439068e-01	2.335454420297524e+01
2.898557409745171e-01	2.335479527878390e+01
2.898745856009260e-01	2.335457047604401e+01
2.945474215199591e-01	2.324302011864130e+01
2.945492091621894e-01	2.324298856812682e+01
2.954178426981711e-01	2.323305171351923e+01
2.954417822534874e-01	2.323259944014823e+01
2.988997302388451e-01	2.314135592155358e+01
2.990831080409988e-01	2.311756535489110e+01
2.990844528314154e-01	2.311739538907555e+01
2.992205765671991e-01	2.310064682723639e+01
2.996970768956035e-01	2.303274383971782e+01
2.997111905255210e-01	2.303120344104364e+01
3.011162641555565e-01	2.292291574586048e+01
3.011184929025657e-01	2.292277023465708e+01
3.037817031869586e-01	2.277998419558379e+01
3.037836687121281e-01	2.277990042655899e+01
3.041190361646929e-01	2.276916839731163e+01
3.041609026712540e-01	2.276803054670549e+01
3.075809379614535e-01	2.269340873684147e+01
3.075829025826490e-01	2.269337279135368e+01
3.078682400820151e-01	2.268907245563434e+01
3.078697098489637e-01	2.268902401408606e+01
3.130455990261652e-01	2.242606460781297e+01
3.130470242845905e-01	2.242602597829128e+01
3.131338268244988e-01	2.242572187836363e+01
3.131644436659917e-01	2.242651046763991e+01
3.148639996401152e-01	2.252136403624578e+01
3.148652423745947e-01	2.252148947195577e+01
3.153472980641405e-01	2.259190899119653e+01
3.153492888658992e-01	2.259216728889049e+01
3.172468018844034e-01	2.280547334569462e+01
3.172687236886829e-01	2.280814328185902e+01
3.183695132877207e-01	2.295401112410578e+01
3.183721391335219e-01	2.295429508122883e+01
3.192568160981830e-01	2.302755560404974e+01
3.192582125649022e-01	2.302761531190469e+01
3.209407759093404e-01	2.303217088030423e+01
3.209668577606957e-01	2.303231892421091e+01
3.233883241819518e-01	2.305361997813074e+01
3.233897823933821e-01	2.305355607219664e+01
3.237858442077244e-01	2.301528668238036e+01
3.238219221163760e-01	2.301225057028547e+01
3.249968728946109e-01	2.292830208274758e+01
3.249978736489976e-01	2.292825355236878e+01
3.251505562418197e-01	2.292436722466174e+01
3.273742126945844e-01	2.280462977482063e+01
3.273762046221703e-01	2.280107269063565e+01
3.275696080162627e-01	2.213954565185291e+01
3.275830053657887e-01	2.211660620597736e+01
3.282914128481824e-01	2.204493276037986e+01
3.282934354191030e-01	2.204478092535152e+01
3.324515225668366e-01	2.183899119856620e+01
3.324525955002950e-01	2.183929756835068e+01
3.327589617673777e-01	2.202857795846516e+01
3.327609773978967e-01	2.202898114010089e+01
3.337342019924951e-01	2.181953883708552e+01
3.337356729600471e-01	2.181923003020807e+01
3.341218320527344e-01	2.174019651262519e+01
3.341238543640089e-01	2.173974823028839e+01
3.346072344319825e-01	2.162444914909605e+01
3.346091372944958e-01	2.162380600788101e+01
3.369240047669204e-01	2.061152010164671e+01
3.369260699214526e-01	2.060622048512157e+01
3.370564854534678e-01	1.999802160987811e+01
3.370605605675562e-01	1.998713683794941e+01
3.381373593929412e-01	1.921991367063171e+01
3.385827446278589e-01	1.897744491352217e+01
3.391851467414488e-01	1.764541185712130e+01
3.392063523781421e-01	1.761763148942215e+01
3.417043413818172e-01	1.651537807868024e+01
3.417100948065840e-01	1.651021583537221e+01
3.417257430409334e-01	1.649461969753308e+01
3.421381373995699e-01	1.588560298831757e+01
3.421393036826870e-01	1.588389230197866e+01
3.421580745582191e-01	1.585654716081696e+01
3.430069815668556e-01	1.550944281646369e+01
3.452247505964570e-01	1.480691962609380e+01
3.456022608524941e-01	1.471012139142866e+01
3.492870567314006e-01	1.383920542961013e+01
3.492888752431239e-01	1.383860712131532e+01
3.505908405603378e-01	1.328943606343791e+01
3.520236794005441e-01	1.233508817639417e+01
3.520257415902167e-01	1.233346360450293e+01
3.520675713752201e-01	1.229534784664454e+01
3.525238410537182e-01	1.199391879272708e+01
3.568996314750633e-01	1.151076393293484e+01
3.569016529910904e-01	1.151039661141830e+01
3.602306814198182e-01	1.066989007748159e+01
3.602485664476329e-01	1.066662458332994e+01
3.679731824855165e-01	9.792053562456548e+00
3.684442901940936e-01	9.627560623749350e+00
3.691642752099267e-01	9.228628370611766e+00
3.691660044399900e-01	9.227810517149761e+00
3.701857760822300e-01	8.828117255776483e+00
3.702332090572563e-01	8.809437778244186e+00
3.702343432283467e-01	8.809037344322745e+00
3.712121781159679e-01	8.503643518971989e+00
3.712141884636083e-01	8.503238917764225e+00
3.761587150051583e-01	8.057412481133802e+00
3.761603511043273e-01	8.057249326520012e+00
3.763659251468747e-01	8.034784748366791e+00
3.763792753863592e-01	8.031817553603945e+00
3.782245623092083e-01	7.411376778885366e+00
3.782265332678000e-01	7.410944456835801e+00
3.854025627798626e-01	6.682649117645265e+00
3.854039232661841e-01	6.682463432477986e+00
3.866228138057890e-01	6.473359046797710e+00
3.871149184312058e-01	6.285522433441303e+00
3.877865380407319e-01	6.077945692962495e+00
3.877880956704478e-01	6.077476183850180e+00
3.893675461859883e-01	5.613460621102067e+00
3.897625590358444e-01	5.584832489311412e+00
3.903692257667822e-01	4.385255108648869e+00
3.903711407570354e-01	4.383270341987512e+00
4.027586994055207e-01	3.166678159790640e+00
4.031158400676132e-01	3.116513367389073e+00
4.031176483093680e-01	3.103743327616156e+00
4.032706511335240e-01	9.513723502330769e-01
4.091182896352714e-01	3.484332847428467e-01
4.091182896352714e-01	3.029779064033822e-01
4.099092181131662e-01	2.275869223627198e-01
4.099092181131662e-01	0.000000000000000e+00
